tick,lastPrice,best_ValueInvestor,worst_ValueInvestor,avg_ValueInvestor,best_TrendFollower,worst_TrendFollower,avg_TrendFollower,best_StopLoss,worst_StopLoss,avg_StopLoss,best_MarketMaker,worst_MarketMaker,avg_MarketMaker,best_Noise,worst_Noise,avg_Noise
177,3.6979,551.362,518.489,526.015,535.68,518.489,521.014,529.147,518.489,524.777,533.797,518.489,524.679,586.359,324.516,495.961
178,3.81032,550.238,519.052,526.209,535.005,519.052,521.404,529.147,519.052,524.939,533.797,519.052,524.903,586.359,334.409,497.803
179,3.70548,551.286,518.527,526.028,535.634,518.527,521.04,529.147,518.527,524.788,533.797,518.527,524.694,586.359,325.184,496.086
180,3.69263,551.415,518.463,526.006,535.711,518.463,520.996,529.147,518.463,524.77,533.797,518.463,524.669,586.359,324.053,495.875
181,3.74839,550.857,518.742,526.102,535.377,518.742,521.189,529.147,518.742,524.85,533.797,518.742,524.78,586.359,328.96,496.789
182,3.89483,549.393,519.474,526.354,534.498,519.474,521.697,529.147,519.474,525.061,533.797,519.474,525.071,586.359,341.847,499.187
183,3.91323,549.209,519.566,526.386,534.388,519.566,521.761,529.147,519.566,525.087,533.797,519.566,525.108,586.359,343.465,499.489
184,3.87645,549.577,519.382,526.322,534.609,519.382,521.634,529.147,519.382,525.035,533.797,519.382,525.035,586.359,340.228,498.886
185,3.83528,549.988,519.176,526.251,534.856,519.176,521.491,529.147,519.176,524.975,533.797,519.176,524.953,586.359,336.606,498.212
186,3.75832,550.758,518.792,526.119,535.317,518.792,521.224,529.147,518.792,524.864,533.797,518.792,524.8,586.359,329.833,496.951
187,3.77838,550.557,518.892,526.154,535.197,518.892,521.293,529.147,518.892,524.893,533.797,518.892,524.85,586.359,331.598,497.269
188,3.89337,549.407,519.467,526.351,534.507,519.467,521.692,529.147,519.467,525.059,533.797,519.467,525.078,586.359,341.717,499.154
189,3.96886,548.652,519.844,526.481,534.054,519.844,521.954,529.147,519.844,525.168,533.797,519.844,525.227,586.359,349.063,500.391
190,3.86525,549.688,519.326,526.303,534.676,519.326,521.595,529.147,519.326,525.018,533.797,519.326,525.022,586.359,340.049,498.693
191,3.76252,550.716,518.813,526.126,535.292,518.813,521.238,529.147,518.813,524.87,533.797,518.813,524.819,586.359,331.111,497.009
192,3.70121,551.329,518.506,526.021,535.66,518.506,521.026,529.147,518.506,524.782,533.797,518.506,524.697,586.359,325.777,496.004
193,3.82872,550.054,519.144,526.24,534.895,519.144,521.468,529.147,519.144,524.966,533.797,519.144,524.95,586.359,336.87,498.094
194,3.92759,549.065,519.638,526.41,534.302,519.638,521.811,529.147,519.638,525.108,533.797,519.638,525.146,586.359,345.472,499.715
195,3.89135,549.427,519.457,526.348,534.519,519.457,521.685,529.147,519.457,525.056,533.797,519.457,525.074,586.359,342.319,499.121
196,4.02284,548.113,520.114,526.574,533.73,520.114,522.142,529.147,520.114,525.245,533.797,520.105,525.334,586.359,353.758,501.276
197,4.1066,547.275,520.533,526.718,533.228,520.533,522.432,529.147,520.533,525.366,533.797,520.105,525.5,586.359,361.859,502.649
198,4.26342,545.707,521.317,526.988,532.287,521.317,522.976,529.147,521.286,525.592,533.797,520.105,525.811,586.359,375.345,505.219
199,4.16004,546.741,520.8,526.81,532.907,520.8,522.618,529.147,520.8,525.443,533.797,520.105,525.606,586.359,366.454,503.524
